,Actual,Predicted
25593,3.303636363636364,3.3544591329991817
11616,3.657837837837838,3.511464636772871
12995,3.7978260869565217,3.9382652267813683
37420,3.3230653021442493,3.445414684712887
27491,3.475155100735529,3.4726012349128723
37104,3.0863793103448276,3.3881108835339546
6362,3.7464,3.7834877483546734
23493,3.2410805860805856,3.968721631914377
13563,3.3097619047619045,3.058312874287367
1749,3.4920174466906673,3.5320817846804857
19387,2.515194805194805,2.380449689924717
11897,2.793636363636363,2.873814594000578
23088,3.0,289949888.9278217
19995,3.6664516129032263,3.5057630948722363
37670,3.6244680851063835,3.278695423156023
11149,3.737083333333333,3.783287661150098
21180,2.7145625,-940148.8545846995
20122,3.5141666666666667,3.392138697206974
32604,3.0650115473441115,3.249031223356724
33203,3.721162790697674,3.6419451348483562
31408,3.809285714285714,3.702964335680008
27090,3.429047619047619,3.3803018257021904
11976,2.5536923076923075,3.56611848808825
5219,3.5,3.4975328780710697
33087,3.927826086956522,3.5118796974420547
5476,3.5558333333333336,3.5681579038500786
13126,3.303703703703704,3.3834342565387487
37230,3.330545454545454,3.20215692743659
29720,3.7311538461538465,3.746159702539444
22676,3.96468085106383,3.874943271279335
24613,3.0943869250542573,2.91004404053092
19786,2.7496197183098596,2.5425352975726128
19316,3.179846153846154,-940148.97267179
25326,3.868139534883721,3.650488208979368
19229,1.7335999999999998,2.77975594997406
29699,3.1923076923076925,3.2338581643998623
13495,3.4273033707865164,3.3372122421860695
33773,3.519240506329113,2.684759009629488
25803,3.8972413793103446,3.7966236621141434
16839,3.7201219512195123,3.670035734772682
23152,3.2775,12512680.142928567
5458,3.499166666666667,3.5114925745874643
36448,3.7886363636363636,3.5955949183553457
24406,3.097151515151515,3.1826759576797485
36084,3.036756756756757,3.6721799261868
32580,3.2775,2.891379412263632
29909,3.4523728813559322,3.4030356518924236
12279,2.822333309806136,2.9646654836833477
16854,3.1981481481481477,3.247775260359049
11813,2.606363636363636,2.6125260554254055
9984,2.788688759516346,2.564235672354698
6506,3.7731818181818184,-53831734.600708246
15682,2.7381081081081087,3.123199051246047
13964,3.5885714285714285,171960863.37604395
30467,2.9308333333333336,2.6003337390720844
34738,3.1298916841369673,-867470334.0342991
38603,2.4697727272727272,3.0750152096152306
6704,3.685135135135136,3.2391520142555237
5759,2.8404166666666666,2.963327221572399
17941,3.2955208333333323,2.974669359624386
21790,3.9637837837837835,3.8427116200327873
6386,3.3113333333333332,3.5877869464457035
9277,3.52875,-940148.510109555
14512,3.701818181818182,3.6746962890028954
34995,3.7079166666666663,3.773731116205454
6975,3.6096551724137926,3.4179954044520855
15376,3.563125,3.2969638872891665
10542,3.4287,3.5099706519395113
37307,3.1347619047619046,-845876793.0967162
37642,3.914857142857143,12512680.14443727
19222,2.3689583333333335,2.441911280155182
26204,3.2752155172413793,3.268661879003048
28760,3.35989010989011,2.614579513669014
23491,2.9999640804597703,3.016879979521036
38227,3.8888888888888884,3.688303668051958
25911,3.2236467236467234,3.1369984950870275
30580,3.3736,-940148.5762572493
18003,2.899130434782609,3.5587504040449858
3556,2.6839024390243904,2.9040363132953644
19123,3.5606944444444446,3.6656849272549152
31904,3.7486486486486483,3.6025852374732494
26055,3.7961290322580643,3.4670140370726585
5407,3.52875,-940148.4977841415
36476,3.6113504273504273,3.3473490811884403
17705,3.746666666666666,3.440239831805229
25047,3.5627211463308726,3.564741887152195
35059,3.5702222222222226,877500751.1820511
9557,2.9728000000000003,3.0930721536278725
9198,3.5156603773584902,3.518636342138052
24745,2.9627777777777777,3.1787903010845184
